NCT_ID,Title,Sponsor,Has_Protocol_Doc,Planned_Enrollment,Allocation,URL
NCT07577206,"Single Microdose Trial- CXCR4 PET Tracer - Pharmacokinetics and Pharmacodynamics of [68Ga]Ga-R54, a Radiopharmaceutical Directed Toward CXCR4 in Patients With Advanced Solid Neoplasia.","National Cancer Institute, Naples",False,10,NA,https://clinicaltrials.gov/study/NCT07577206
NCT02304211,Intra-Arterial Microdosing: Proof-of-Concept in Humans,Duke University,False,10,RANDOMIZED,https://clinicaltrials.gov/study/NCT02304211
NCT07110519,Positron Emission Tomography (PET) Contrast Agent Kinetics and Safety: [18F]-Fluoromannitol,St. Jude Children's Research Hospital,False,10,NA,https://clinicaltrials.gov/study/NCT07110519
NCT01594242,Autophagy Induction After Bortezomib for Myeloma,Abramson Cancer Center at Penn Medicine,False,11,NA,https://clinicaltrials.gov/study/NCT01594242
NCT02744053,DCE-MRI and MBI in Assessing Tumor Response to Chemotherapy in Patients With Triple Negative Breast Cancer,M.D. Anderson Cancer Center,False,96,NA,https://clinicaltrials.gov/study/NCT02744053
NCT02603887,Pembrolizumab in Treating Patients With Intermediate or High-Risk Smoldering Multiple Myeloma,M.D. Anderson Cancer Center,True,20,NA,https://clinicaltrials.gov/study/NCT02603887
NCT05111509,A First-in-human Clinical Trial to Evaluate an Alpha-radiation Imaging Agent,Yusuf Menda,False,20,NA,https://clinicaltrials.gov/study/NCT05111509
NCT07120971,Metformin for Premature Infants With Bronchopulmonary Dysplasia,Medical College of Wisconsin,False,40,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT07120971
NCT06366451,"PBI-MST-01 (NCT04541108) Substudy AZN-05: Intratumoral Microdosing of Rilvegostomig, Volrustomig, Sabestomig, and AZD9592 in HNSCC",Presage Biosciences,False,17,NA,https://clinicaltrials.gov/study/NCT06366451
NCT07485049,BGB-58067 in Newly Diagnosed Glioblastoma Patients With MTAP-Deleted Tumors,Nader Sanai,False,78,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT07485049
NCT03154411,A Microdose Evaluation Study of ABY-029 in Primary Sarcoma,Dartmouth-Hitchcock Medical Center,False,12,NA,https://clinicaltrials.gov/study/NCT03154411
NCT01888952,Phase 0/1 Biomarker and Pharmacodynamic Study of Roflumilast in Patients With Advanced B-Cell Hematologic Malignancies (CTRC# 13-0013),Anand B. Karnad,False,10,NA,https://clinicaltrials.gov/study/NCT01888952
NCT05302648,To Evaluate the Safety and Efficacy of Human Derived Anti-BCMA CAR-T Injection for Subjects with R/R MM,"Hrain Biotechnology Co., Ltd.",False,18,NA,https://clinicaltrials.gov/study/NCT05302648
NCT06519565,Safety and Efficacy of PRG-1801 in Recurrent/Refractory Primary Immune Thrombocytopenia (ITP),"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",False,6,NA,https://clinicaltrials.gov/study/NCT06519565
NCT04457258,68Ga-FAPi-46 PET/CT Scan in Imaging Patients With Sarcoma,Jonsson Comprehensive Cancer Center,False,18,NA,https://clinicaltrials.gov/study/NCT04457258
NCT05717153,Intratumoral Extracellular Metabolic Impact of DFMO and AMXT 1501 in Patients With Diffuse or High Grade Glioma,Mayo Clinic,False,18,RANDOMIZED,https://clinicaltrials.gov/study/NCT05717153
NCT03647657,177Lu-PP-F11N in Combination With Sacubitril for Receptor Targeted Therapy and Imaging of Metastatic Thyroid Cancer,"University Hospital, Basel, Switzerland",False,8,RANDOMIZED,https://clinicaltrials.gov/study/NCT03647657
NCT04185337,Ultrasound-Guided Photoacoustic Imaging for the Detection of Metastases in Inguinal Lymph Nodes,M.D. Anderson Cancer Center,False,23,NA,https://clinicaltrials.gov/study/NCT04185337
NCT00831077,Early Phase I Microdosing Study of ORM-14540 and ORM-12741,"Orion Corporation, Orion Pharma",False,6,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT00831077
NCT05406700,Niraparib In Recurrent IDH 1/2 Gliomas,Massachusetts General Hospital,False,16,RANDOMIZED,https://clinicaltrials.gov/study/NCT05406700
NCT04142892,Onapristone as Preoperative Treatment for Postmenopausal Women With Hormone Receptor + and HER2- Breast Cancer,SOLTI Breast Cancer Research Group,False,10,NA,https://clinicaltrials.gov/study/NCT04142892
NCT04614909,Study of Pamiparib in Newly Diagnosed and rGBM,Nader Sanai,False,50,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT04614909
NCT02534376,Cellular Effect of Cholesterol-Lowering Prior to Prostate Removal,Cedars-Sinai Medical Center,False,63,NA,https://clinicaltrials.gov/study/NCT02534376
NCT03395847,Pembrolizumab in Treating Patients With Metastatic or Unresectable Gastroesophageal Adenocarcinoma,M.D. Anderson Cancer Center,False,9,NA,https://clinicaltrials.gov/study/NCT03395847
NCT05007756,A Study Exploring the Use of Challenge Agents in Healthy Volunteers or Participants With a Disease of Interest,"Janssen Research & Development, LLC",False,24,NA,https://clinicaltrials.gov/study/NCT05007756
NCT00962845,Hydroxychloroquine in Patients With Stage III or Stage IV Melanoma That Can Be Removed by Surgery,"Rutgers, The State University of New Jersey",False,20,NA,https://clinicaltrials.gov/study/NCT00962845
NCT06824662,Phase 0 With Expansion Phase Clinical Trial of Quisinostat Plus Radiotherapy in Newly-diagnosed and Recurrent Grade 4 IDH-Wildtype Glioblastomas,Nader Sanai,False,30,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT06824662
NCT05294367,Dietary and Topical Magnesium Replacement or Supplementation in Patients With Lymphoma,Mayo Clinic,False,60,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT05294367
NCT05773326,Superselective Intra-arterial Cerebral Infusion of Temsirolimus in HGG,Nader Sanai,False,5,NA,https://clinicaltrials.gov/study/NCT05773326
NCT04211259,Loratadine for the Reduction of G-CSF Induced Bone Pain in Patients With Multiple Myeloma Undergoing Stem Cell Mobilization,"Rutgers, The State University of New Jersey",False,70,RANDOMIZED,https://clinicaltrials.gov/study/NCT04211259
NCT07235280,Testing the Safety of Dapagliflozin Prior to Surgery for the Treatment of Patients With Stage IA Lung Adenocarcinoma,Jonsson Comprehensive Cancer Center,False,48,NA,https://clinicaltrials.gov/study/NCT07235280
NCT05160597,Image-Guided (68Ga-PSMA-11 PET/CT) Prostate Biopsy for the Diagnosis of Prostate Cancer in Men With Prior Negative/Inconclusive Biopsy,Jonsson Comprehensive Cancer Center,False,30,NA,https://clinicaltrials.gov/study/NCT05160597
NCT05555342,A Novel Method for Treating Lung Met w/Combo of Electric Fields & Rad Therapy: A Single-Arm,"University of California, Irvine",False,6,NA,https://clinicaltrials.gov/study/NCT05555342
NCT07240974,Safety and Efficacy of ZZSW-01 in Relapsed/Refractory B-cell Malignancies,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",False,6,NA,https://clinicaltrials.gov/study/NCT07240974
NCT03239561,Evaluation of Tau Protein in the Brain of Participants With Alzheimer's Disease Compared to Healthy Participants,"Janssen Research & Development, LLC",False,15,NA,https://clinicaltrials.gov/study/NCT03239561
NCT04040686,HER2 Expression Detection in Breast Cancer Using 99mTc-NM-02,"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",False,10,NA,https://clinicaltrials.gov/study/NCT04040686
NCT05041153,"Pembrolizumab and Lenvatinib for the Treatment of Advanced, Unresectable, or Metastatic Gastroesophageal Adenocarcinoma",M.D. Anderson Cancer Center,False,15,NA,https://clinicaltrials.gov/study/NCT05041153
NCT03238365,Window of Opportunity Trial of Nivolumab and Tadalafil in Patients With Squamous Cell Carcinoma of the Head and Neck,Sidney Kimmel Comprehensive Cancer Center at Thomas Jefferson University,False,50,RANDOMIZED,https://clinicaltrials.gov/study/NCT03238365
NCT02077998,Oxaliplatin in Treating Patients With Metastatic Breast Cancer,"University of California, Davis",False,1,NA,https://clinicaltrials.gov/study/NCT02077998
NCT02343783,"A Study to Evaluate Use of Induced Skin Blisters in Adult Participants With Atopic Dermatitis, Allergic Asthma and Atopic Healthy Participants","Janssen Research & Development, LLC",False,46,NA,https://clinicaltrials.gov/study/NCT02343783
NCT01186471,"The Effect of Nicotine on Arousal, Cognition and Social Cognition in Schizophrenic Patients","Janssen Pharmaceutica N.V., Belgium",False,32,RANDOMIZED,https://clinicaltrials.gov/study/NCT01186471
NCT05815537,Development of Functional Spatial Hearing in Reverberation,Father Flanagan's Boys' Home,False,116,RANDOMIZED,https://clinicaltrials.gov/study/NCT05815537
NCT01445054,111 Indium CHX-A DTPA Trastuzumab (Indium-Herceptin) for Imaging Breast Cancer,National Cancer Institute (NCI),False,13,NA,https://clinicaltrials.gov/study/NCT01445054
NCT03080051,Evaluation of [18F]MNI-952 as a Potential PET Radioligand for Imaging Tau Protein in the Brain,Molecular NeuroImaging,False,6,NA,https://clinicaltrials.gov/study/NCT03080051
NCT03477110,"Temozolomide, Radiation Therapy, and Tumor Treating Fields Therapy in Treating Participants With Glioblastoma",Sidney Kimmel Comprehensive Cancer Center at Thomas Jefferson University,False,30,NA,https://clinicaltrials.gov/study/NCT03477110
NCT02735356,Topical Itraconazole in Treating Patients With Basal Cell Cancer,Jean Yuh Tang,False,9,NA,https://clinicaltrials.gov/study/NCT02735356
NCT02062255,Impact of COX2 on Sera Biomarkers From Obese Subjects,The University of Texas Health Science Center at San Antonio,False,126,RANDOMIZED,https://clinicaltrials.gov/study/NCT02062255
NCT01479348,Imaging Study for FdCyd and THU Cancer Treatment,National Cancer Institute (NCI),True,5,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT01479348
NCT04116164,Safety and Targeting of Anti-hk2 Antibody in mCRPC,SpectronRX,False,27,NA,https://clinicaltrials.gov/study/NCT04116164
NCT02357836,Neoadjuvant Itraconazole in Non-small Cell Lung Cancer,University of Texas Southwestern Medical Center,True,13,NA,https://clinicaltrials.gov/study/NCT02357836
